Index,Date,Current,Planning,Completed,Dropped,Paused,Average,Mean,Favourites,Popularity,H._AllTime,Pop._AllTime,H._2019,Pop._2019,Score_10,Score_30,Score_40,Score_50,Score_60,Score_70,Score_80,Score_90,Score_100
1,2019-12-16 23:44:16.586892,3858,1358,20,26,26,84,85,478,5343,38,131,1,1,11,8,3,9,20,102,311,597,298
2,2019-12-17 07:45:52.109763,3858,1358,20,26,26,84,85,478,5343,38,131,1,1,11,8,3,9,20,102,311,597,298
3,2019-12-18 08:28:08.703742,3883,1372,20,27,27,84,85,481,5384,38,126,1,1,11,9,3,9,20,102,316,601,300
4,2019-12-19 07:41:30.223455,3919,1385,20,28,28,83,85,486,5434,40,125,1,1,12,9,4,10,20,103,318,604,301
5,2019-12-21 09:07:56.841724,3946,1402,20,29,29,83,85,492,5480,40,123,1,1,12,9,4,10,20,103,318,604,301
6,2019-12-22 16:43:50.835638,3993,1400,20,29,29,84,85,495,5526,39,121,1,1,11,9,4,10,20,103,325,615,304
7,2019-12-22 16:44:13.773147,3993,1400,20,29,29,84,85,495,5526,39,121,1,1,11,9,4,10,20,103,325,615,304
8,2019-12-23 13:13:22.409053,3993,1400,20,29,29,84,85,497,5526,39,121,1,1,11,9,4,10,20,103,325,615,304
9,2019-12-25 12:01:40.671514,4036,1410,20,31,31,84,85,500,5581,38,121,1,1,11,9,4,11,21,106,332,617,315
10,2019-12-31 17:45:59.168855,4155,1458,20,33,33,84,85,509,5761,36,113,1,1,10,9,4,12,21,109,348,636,324
11,2020-01-01 10:39:16.155866,4155,1458,20,33,33,84,85,509,5761,36,113,1,1,10,9,4,12,21,109,348,636,324
12,2020-01-02 16:53:04.237237,4187,1471,22,32,32,84,85,515,5809,35,112,1,1,10,9,4,12,21,109,348,636,324
13,2020-01-03 11:47:00.686590,4187,1471,22,32,32,84,85,518,5809,35,112,1,1,10,9,4,12,21,109,348,636,324
14,2020-01-03 18:08:46.106432,4199,1475,22,32,32,84,85,518,5825,34,112,1,1,10,9,4,12,21,109,356,639,337
15,2020-01-04 16:21:29.539862,4212,1484,22,32,32,84,85,521,5847,34,112,1,1,10,9,4,12,21,109,356,639,337
16,2020-01-04 16:24:35.711711,4212,1484,22,32,32,84,85,521,5847,34,112,1,1,10,9,4,12,21,109,356,639,337
17,2020-01-06 11:02:54.114312,4236,1487,22,32,32,84,85,526,5874,35,112,1,1,11,9,4,12,21,111,358,645,338
18,2020-01-07 16:54:20.656051,4275,1501,22,32,32,84,85,527,5928,35,112,1,1,11,9,4,12,21,111,358,645,338
19,2020-01-08 18:35:24.926122,4291,1504,22,33,33,84,85,528,5949,34,112,1,1,11,9,4,13,21,111,361,656,346
20,2020-01-13 14:40:09.311817,4387,1541,22,34,34,84,85,541,6090,34,112,1,1,9,1,9,4,15,21,111,377,666
21,2020-01-14 11:59:09.934359,4387,1541,22,34,34,84,85,544,6090,34,112,1,1,9,1,9,4,15,21,111,377,666
22,2020-01-15 18:07:17.036360,4419,1556,23,34,34,84,85,546,6142,34,111,1,1,9,1,9,4,15,21,111,377,666
23,2020-01-16 10:32:49.699969,4419,1556,23,34,34,84,85,549,6142,34,111,1,1,9,1,9,4,15,21,111,377,666
24,2020-01-17 17:18:40.710561,4448,1566,23,36,36,84,85,551,6185,34,108,1,1,9,1,9,4,15,21,111,377,666
25,2020-01-19 16:03:55.597827,4475,1579,23,37,37,84,85,552,6225,34,107,1,1,9,1,9,4,15,21,111,377,666
26,2020-01-20 14:38:58.927646,4492,1587,23,37,37,84,85,553,6251,34,107,1,1,9,1,9,4,15,21,111,377,666
27,2020-01-21 20:56:52.762440,4510,1598,24,37,37,84,85,554,6281,34,105,1,1,9,1,9,4,15,21,111,377,666
28,2020-01-22 10:32:35.750757,4510,1598,24,37,37,84,85,556,6281,34,105,1,1,9,1,9,4,15,21,111,377,666
29,2020-01-22 18:05:49.058557,4529,1600,24,38,113,84,85,556,6304,34,105,1,1,9,1,9,4,15,21,111,377,666
30,2020-01-23 12:02:38.165184,4529,1600,24,38,113,84,85,554,6304,34,105,1,1,9,1,9,4,15,21,111,377,666
31,2020-01-24 11:16:48.233646,4541,1608,23,38,113,84,85,556,6323,35,104,1,1,10,1,9,4,14,23,120,398,686
32,2020-01-25 13:28:43.311656,4551,1611,23,38,115,84,85,557,6338,34,104,1,1,10,1,9,4,14,23,120,398,686
33,2020-01-26 10:13:31.815225,4565,1616,23,38,117,84,85,559,6359,35,103,1,1,10,1,9,4,14,23,120,398,686
34,2020-01-27 18:13:11.670141,4611,1624,23,38,119,84,85,560,6415,35,101,1,1,9,1,9,4,15,25,122,405,693
35,2020-01-28 11:35:16.441295,4611,1624,23,38,119,84,85,562,6415,35,101,1,1,9,1,9,4,15,25,122,405,693
36,2020-01-29 11:48:09.741877,4627,1631,23,38,121,84,85,567,6440,34,101,1,1,9,1,9,4,15,25,122,406,698
37,2020-01-30 10:50:33.721345,4652,1633,23,38,121,84,85,571,6467,34,100,1,1,9,1,9,4,15,25,122,406,698
38,2020-01-31 10:22:51.395470,4663,1639,23,38,122,84,85,572,6485,34,100,1,1,9,1,9,4,15,25,122,406,698
