Index,Date,Score,Users_Scored,Rank,Popularity,Members,Favorites
1,2020-01-04 20:59:33.044154,8.721,8126,422,354,24068,1362
2,2020-01-06 11:06:20.205592,8.721,8204,422,351,24292,1373
3,2020-01-07 16:50:28.792398,8.721,8252,422,351,24441,1386
4,2020-01-08 18:36:24.792101,8.721,8299,422,347,24543,1391
5,2020-01-13 14:38:49.848238,8.721,8526,422,337,25155,1430
6,2020-01-14 11:58:03.059876,8.721,8574,422,336,25290,1436
7,2020-01-15 18:06:39.646172,8.721,8618,422,334,25451,1440
8,2020-01-16 10:33:17.595691,8.711,8656,452,332,25540,1446
9,2020-01-17 17:19:08.328331,8.711,8693,452,329,25659,1455
10,2020-01-19 16:05:44.393993,8.711,8765,452,325,25867,1476
11,2020-01-20 14:38:18.181919,8.701,8796,452,323,25982,1480
12,2020-01-21 20:54:35.531802,8.701,8847,462,321,26121,1484
13,2020-01-22 10:31:42.139891,8.701,8866,462,321,26170,1488
14,2020-01-23 12:03:32.557721,8.701,8891,472,320,26278,1493
15,2020-01-24 11:16:02.825122,8.701,8929,472,318,26367,1496
16,2020-01-25 13:29:15.196720,8.701,8958,472,316,26464,1501
17,2020-01-26 10:12:46.814790,8.701,8988,472,316,26560,1510
18,2020-01-27 18:14:05.682028,8.701,9068,472,311,26744,1519
19,2020-01-28 11:34:38.714247,8.701,9099,472,311,26816,1524
20,2020-01-29 11:49:19.347076,8.701,9126,472,310,26899,1529
21,2020-01-30 10:49:45.518550,8.701,9159,472,309,26987,1534
22,2020-01-31 10:23:47.173837,8.701,9189,482,308,27076,1537
