Index,Date,Reading,Completed,On_Hold,Dropped,Plan_To_Watch,Total
1,2020-01-04 20:47:44.950303,17004,225,443,158,6242,24072
2,2020-01-06 11:06:20.205592,17133,227,456,160,6316,24292
3,2020-01-07 16:50:28.792398,17225,231,464,160,6359,24439
4,2020-01-08 18:36:24.792101,17302,231,465,160,6384,24542
5,2020-01-13 14:38:49.848238,17699,247,478,166,6562,25152
6,2020-01-14 11:58:03.059876,17798,248,480,168,6594,25288
7,2020-01-15 18:06:39.646172,17904,251,483,168,6641,25447
8,2020-01-16 10:33:17.595691,17973,250,483,168,6661,25535
9,2020-01-17 17:19:08.328331,18060,252,483,168,6691,25654
10,2020-01-19 16:05:44.393993,18204,256,488,171,6744,25863
11,2020-01-20 14:38:18.181919,18279,258,492,174,6779,25982
12,2020-01-21 20:54:35.531802,18373,257,499,174,6818,26121
13,2020-01-22 10:31:42.139891,18408,258,501,175,6827,26169
14,2020-01-23 12:03:32.557721,18466,261,506,176,6864,26273
15,2020-01-24 11:16:02.825122,18535,262,508,176,6889,26370
16,2020-01-25 13:29:15.196720,18599,264,513,178,6910,26464
17,2020-01-26 10:12:46.814790,18665,266,517,179,6930,26557
18,2020-01-27 18:14:05.682028,18821,268,519,181,6955,26744
19,2020-01-28 11:34:38.714247,18869,269,526,182,6970,26816
20,2020-01-29 11:49:19.347076,18935,270,526,182,6983,26896
21,2020-01-30 10:49:45.518550,19005,271,530,183,6998,26987
22,2020-01-31 10:23:47.173837,19075,271,533,183,7018,27080
