Index,Date,Members,Score,Chapters,Volumes,Reading,Completed,OnHold,Dropped,PlanToRead,Total
1,2019-12-09 01:19:22.755384,20188,8.73,0,0,14535,185,366,128,4931,20145
2,2019-12-12 08:06:17.121049,20188,8.73,0,0,14535,185,366,128,4931,20145
3,2019-12-15 16:01:28.714940,21428,8.72,0,0,15164,194,390,135,5545,21428
4,2019-12-16 11:09:32.066080,21615,8.72,0,0,15279,197,398,137,5604,21615
5,2019-12-17 07:47:00.110143,21428,8.72,0,0,15164,194,390,135,5545,21428
6,2019-12-18 08:29:51.406921,22022,8.73,0,0,15510,204,400,141,5767,22022
7,2019-12-19 07:39:08.673291,22166,8.73,0,0,15510,204,400,141,5767,22022
8,2019-12-21 09:08:49.906618,21428,8.72,0,0,15774,207,404,145,5862,22392
9,2019-12-22 16:42:58.116385,22548,8.73,0,0,15774,207,404,145,5862,22392
10,2019-12-23 13:13:58.331995,21615,8.72,0,0,15510,204,400,141,5767,22022
11,2019-12-25 12:00:45.875302,21615,8.72,0,0,15279,197,398,137,5604,21615
12,2019-12-31 17:44:46.372029,22166,8.73,0,0,15995,207,413,147,5912,22674
13,2020-01-01 10:37:14.365614,23624,8.72,0,0,16662,216,429,152,6144,23603
14,2020-01-02 16:50:01.577641,22022,8.73,0,0,15510,204,400,141,5767,22022
15,2020-01-03 11:50:40.732106,23624,8.72,0,0,16662,216,429,152,6144,23603
16,2020-01-04 16:27:05.727278,23624,8.72,0,0,16953,224,440,158,6219,23994
17,2020-01-06 11:04:30.850815,23624,8.72,0,0,15908,206,408,148,5885,22555
18,2020-01-07 16:52:21.208297,22398,8.73,0,0,16953,224,440,158,6219,23994
19,2020-01-08 18:35:47.689151,22548,8.73,0,0,16953,224,440,158,6219,23994
20,2020-01-13 14:40:47.072303,25155,8.72,0,0,16953,224,440,158,6219,23994
21,2020-01-14 11:58:34.999513,23601,8.72,0,0,17798,248,480,168,6594,25288
22,2020-01-15 18:07:37.951760,25290,8.72,0,0,15510,204,400,141,5767,22022
23,2020-01-16 10:32:04.278006,24455,8.72,0,0,17238,231,464,160,6361,24454
24,2020-01-17 17:18:09.811548,25659,8.71,0,0,15279,197,398,137,5604,21615
25,2020-01-19 16:05:08.123168,25659,8.71,0,0,17908,250,483,168,6645,25454
26,2020-01-20 14:39:24.375398,25659,8.71,0,0,18279,258,492,174,6779,25982
27,2020-01-21 20:56:33.450187,25290,8.72,0,0,18373,257,499,174,6818,26121
28,2020-01-22 10:32:16.739976,25540,8.71,0,0,18236,256,490,172,6754,25908
29,2020-01-23 12:02:58.417927,26141,8.7,0,0,18318,258,496,174,6796,26042
30,2020-01-24 11:16:26.930042,22398,8.73,0,0,18408,258,501,175,6827,26169
31,2020-01-25 13:28:57.947725,26464,8.7,0,0,18599,264,513,178,6910,26464
32,2020-01-26 10:13:09.032337,26141,8.7,0,0,18336,258,496,175,6801,26066
33,2020-01-27 18:13:37.256834,26367,8.7,0,0,18535,262,508,176,6889,26370
34,2020-01-28 11:34:53.840217,26367,8.7,0,0,18821,268,519,181,6955,26744
35,2020-01-29 11:48:36.180325,26899,8.7,0,0,18821,268,519,181,6955,26744
36,2020-01-30 10:50:09.908506,26987,8.7,0,0,19005,271,530,183,6998,26987
37,2020-01-31 10:23:18.564120,27076,8.7,0,0,19005,271,530,183,6998,26987
